Generation,Number of Bins
1,18
2,18
3,17
4,17
5,16
6,17
7,15
8,15
9,15
10,14
11,14
12,13
13,13
14,13
15,12
16,12
17,11
18,11
19,11
20,11
21,10
22,11
23,10
24,10
25,9
26,8
27,9
28,9
29,8
30,8
31,8
32,8
33,8
34,8
35,7
36,7
37,8
38,8
39,7
40,7
41,7
42,7
43,7
44,6
45,7
46,7
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,7
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,5
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,4
109,5
110,4
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,4
120,5
121,5
122,5
123,5
124,4
125,5
126,5
127,5
128,5
129,4
130,4
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,4
147,5
148,4
149,5
150,5
151,5
152,4
153,5
154,5
155,5
156,4
157,5
158,5
159,5
160,5
161,4
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,4
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,4
231,5
232,5
233,4
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,4
264,5
265,5
266,4
267,4
268,4
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,5
298,4
299,4
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,5
314,5
315,5
316,5
317,5
318,5
319,4
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,4
328,5
329,5
330,5
331,5
332,5
333,5
334,5
335,5
336,4
337,4
338,5
339,5
340,5
341,4
342,5
343,5
344,5
345,5
346,5
347,5
348,5
349,5
350,5
351,5
352,5
353,5
354,5
355,5
356,5
357,4
358,5
359,5
360,5
361,5
362,5
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,4
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,4
385,5
386,5
387,5
388,5
389,5
390,5
391,5
392,5
393,5
394,4
395,4
396,5
397,5
398,5
399,5
400,5
401,4
402,4
403,4
404,5
405,5
406,5
407,5
408,5
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,5
418,5
419,5
420,5
421,5
422,5
423,5
424,5
425,5
426,5
427,5
428,5
429,5
430,5
431,5
432,5
433,6
434,6
435,6
436,6
437,5
438,5
439,5
440,5
441,5
442,5
443,6
444,5
445,5
446,6
447,5
448,5
449,6
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,5
464,5
465,5
466,5
467,5
468,5
469,5
470,5
471,5
472,5
473,5
474,5
475,5
476,5
477,5
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,4
487,4
488,5
489,4
490,5
491,5
492,5
493,5
494,5
495,5
496,5
497,5
498,4
499,5
500,5
